TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterID,ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type
42,18,12,31.782195186963666,-136.70791785698677,5,1556287137,192.168.1.30,55294,192.168.1.184,21,tcp,-,1.7e-05,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,password
38,12,25,49.55270739690698,-16.55889454485404,4,1556172723,192.168.1.30,54692,192.168.1.152,80,tcp,http,0.082217,218,3440,SF,0,5,486,6,3760,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
97,15,18,81.27083608967433,150.13423557775425,5,1556424456,192.168.1.33,34105,192.168.1.193,445,tcp,-,0.0,0,0,OTH,0,0,0,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ransomware
19,11,18,-1.229494124118716,-45.62254275824793,4,1554278167,192.168.1.152,1880,192.168.1.152,40688,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
49,13,18,-74.20794777190483,61.12047444028431,3,1554253983,127.0.0.1,42100,127.0.0.1,7878,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
42,15,23,35.68501385978716,167.9380227693157,5,1556362792,192.168.1.79,46057,239.255.255.250,15600,udp,-,0.0,0,0,S0,0,1,63,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
10,16,19,-31.172859303894136,-76.67553985200745,4,1556021607,192.168.1.30,49500,192.168.1.49,3283,tcp,-,0.0,0,0,S0,0,1,44,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,scanning
44,16,13,74.96023019457618,89.97552051288613,5,1556203825,192.168.1.30,39062,192.168.1.190,80,tcp,-,0.001169,0,0,S1,0,2,112,1,60,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
69,11,22,64.17132278029862,-90.71801725455002,5,1554294622,127.0.0.1,42100,127.0.0.1,7878,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
45,14,12,14.352000021450095,-51.01208948176537,4,1556361255,192.168.1.79,38071,192.168.1.195,53514,udp,-,0.0,0,0,S0,0,1,353,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
70,12,14,24.719256515176355,81.25599742717861,4,1556172721,192.168.1.30,51378,192.168.1.190,80,tcp,-,0.048653,1,0,SHR,0,2,116,2,104,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
69,11,25,-74.26216750271625,44.30535652852527,3,1554198508,192.168.1.79,36843,192.168.1.255,15600,udp,-,0.0,0,0,S0,0,1,63,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
82,16,14,50.55889041366194,160.683249719495,5,1556258800,37.129.254.220,24929,192.168.1.152,80,tcp,-,0.0,0,0,S0,0,1,40,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
71,11,11,79.99709249379663,97.14070445627785,5,1554268671,fe80::343b:2cf:e9fb:6570,135,ff02::1:ff1e:5790,136,icmp,-,0.0,0,0,OTH,0,1,72,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
84,11,19,-65.88917103562908,64.42142293875443,3,1556130174,192.168.1.30,68,192.168.1.152,68,tcp,-,1e-06,0,0,REJ,0,1,40,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,dos
91,20,20,-69.9188553527888,13.468966541576435,3,1556261332,77.228.163.181,57199,192.168.1.194,80,tcp,-,0.0,0,0,S0,0,1,40,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
99,12,10,17.06144021909971,138.773398475092,4,1556173494,192.168.1.31,35898,18.184.104.180,80,tcp,http,1.334798,293,12183,SF,0,5,561,12,12815,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
62,15,22,47.88238174566269,7.660521549222949,4,1554300216,192.168.1.152,53972,192.168.1.152,10502,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
66,20,21,54.82365116404264,-133.66148273046778,5,1554237516,192.168.1.152,34296,192.168.1.152,10502,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
72,12,16,0.7574437284651339,-39.886835655107376,4,1556296262,192.168.1.180,60953,192.168.1.190,53,udp,dns,0.003346,52,100,SF,0,1,80,1,128,google.whois-servers.net.mydns.com,1,1,3,F,T,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
40,17,17,35.098590662924906,85.30998245918045,4,1556262251,192.168.1.190,4052,203.119.95.53,53,udp,dns,0.0,0,0,S0,0,1,83,0,0,94.56.182.221.in-addr.arpa,1,12,0,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
71,20,20,-19.904661165296417,98.47241726475085,3,1556287574,192.168.1.195,52924,192.168.1.1,41952,tcp,http,0.733086,383,3882,SF,0,10,795,12,4374,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
56,17,16,-39.97354143879868,-55.80662479601277,4,1554256980,192.168.1.190,22753,128.63.2.53,53,udp,dns,0.308527,0,1169,SHR,0,0,0,1,1197,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
51,19,14,5.497248250397817,55.67885532598908,4,1556438662,192.168.1.193,49429,192.168.1.37,8080,tcp,-,0.000624,0,0,REJ,0,1,48,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor
20,13,25,-25.401805727335528,55.48389888343053,4,1554281657,192.168.1.79,47575,239.255.255.250,15600,udp,-,0.0,0,0,S0,0,1,63,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
84,16,20,-83.07863728866141,-143.9726141984151,3,1556364316,192.168.1.195,51383,192.168.1.1,41952,tcp,http,0.523589,383,3882,SF,0,11,847,12,4374,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
13,10,14,73.39866317365383,97.25146940633664,5,1556340895,192.168.1.32,45706,176.28.50.165,80,tcp,-,0.0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
40,13,16,-52.747784679070016,-22.34001572722016,4,1556425351,192.168.1.33,4444,192.168.1.193,49223,tcp,-,0.0,0,0,OTH,0,1,328,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ransomware
15,13,20,-39.67163928210088,-109.35145243062983,3,1556439568,192.168.1.193,49574,192.168.1.33,80,tcp,-,0.000321,0,0,REJ,0,1,48,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor
62,12,12,-83.27481537442456,15.303107291807692,3,1556248697,192.168.1.180,35541,192.168.1.190,53,udp,dns,3.255172,264,1112,SF,0,6,432,6,1280,173.222.5.123.in-addr.arpa,1,12,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
63,20,23,58.87767629692334,-167.04187107744022,5,1556351658,192.168.1.195,60324,192.168.1.79,9197,tcp,http,0.017619,202,22043,SF,0,8,534,19,22815,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
15,20,17,19.17397905303092,-91.47545476550684,5,1556021451,192.168.1.32,61174,192.168.1.49,5357,tcp,-,0.0,0,0,S0,0,1,44,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,scanning
11,12,25,-88.33167042759453,18.490934848259712,3,1556440417,192.168.1.193,49722,192.168.1.33,80,tcp,-,0.000158,0,0,REJ,0,1,48,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor
71,20,14,-66.79503870959815,-136.076339694134,3,1556172851,192.168.1.30,52421,192.168.1.1,53,udp,dns,0.083281,74,90,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
77,16,22,76.29551034999125,170.10808333117592,5,1554285026,192.168.1.152,1880,192.168.1.152,40688,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
95,15,13,-74.7685798201327,-130.9807946167273,3,1556329612,192.168.1.79,45083,192.168.1.255,15600,udp,-,0.0,0,0,S0,0,1,63,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
77,12,20,-37.71689210326532,32.98223622093013,4,1556203764,192.168.1.30,45102,192.168.1.184,443,tcp,-,60.098079,0,0,S3,0,2,112,2,112,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
93,14,18,-75.41502906076254,41.26975185327626,3,1556021545,192.168.1.30,50568,192.168.1.103,32775,tcp,-,0.0,0,0,S0,0,1,44,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,scanning
79,13,21,-37.20496017573205,-4.044982186098139,4,1556352912,192.168.1.79,58026,192.168.1.195,51072,udp,-,0.0,0,0,S0,0,1,344,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
49,13,16,-36.03785637101352,15.196319697140666,4,1556173534,192.168.1.30,58538,192.168.1.190,80,tcp,http,0.222615,518,1919,SF,0,3,674,6,2239,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
27,12,13,65.47054943969064,65.72382853495188,5,1556203789,192.168.1.30,35703,192.168.1.1,53,udp,dns,1e-05,58,58,SF,0,1,86,1,86,testphp.vulnweb.com/listproducts.php.hub,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
18,16,18,-12.974131068403707,-101.66862679542686,3,1554207995,192.168.1.152,1880,192.168.1.152,51782,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
36,17,13,25.164584470143154,131.9879295694788,4,1556364916,192.168.1.195,51718,192.168.1.79,9197,tcp,http,0.008383,188,3478,SF,0,5,400,7,3770,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
87,16,16,-60.03334879220722,122.40585148198323,3,1556309352,192.168.1.195,52145,224.0.0.252,5355,udp,dns,3.4e-05,66,0,S0,0,2,122,0,0,desktop-7q9apbo,1,255,0,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
64,15,20,-49.605993696155,67.92999331507687,4,1554273520,192.168.1.79,48362,239.255.255.250,15600,udp,-,0.0,0,0,S0,0,1,63,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
10,19,11,5.231078235305887,-107.7587888306528,5,1556340875,192.168.1.32,38786,192.168.1.152,80,tcp,http,6.344568,2854,1388,S3,0,6,3174,4,1604,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
25,11,25,43.542400787251495,16.159490406767105,4,1556129715,192.168.1.30,22,192.168.1.194,22,tcp,-,1.6e-05,0,0,RSTO,0,2,80,1,44,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,dos
10,14,18,51.8266021282065,54.30256554061529,4,1556021982,192.168.1.30,49503,192.168.1.49,15742,tcp,-,0.0,0,0,S0,0,1,44,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,scanning
77,10,19,21.98333568351032,-11.845998198606082,5,1554231955,192.168.1.190,43530,192.168.1.190,7878,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
55,15,11,-55.28268014424516,14.48007881012515,3,1556248191,192.168.1.190,6898,85.234.0.53,53,udp,dns,0.370764,44,88,SF,0,1,72,1,116,ns.info-link.ru,1,28,0,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
22,20,23,-32.01627503629901,42.570611876665055,4,1556340904,192.168.1.32,52990,52.28.231.150,80,tcp,-,0.0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
87,14,21,85.42837506175243,21.68435625752514,5,1556340864,192.168.1.32,44716,192.168.1.190,80,tcp,-,4.212726,0,1083,SF,0,2,104,2,1187,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
14,19,15,84.62820163094304,15.351783242445975,5,1556340932,192.168.1.32,55122,192.168.1.190,80,tcp,http,7.492182,2473,1275,S3,0,6,2793,4,1491,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
38,12,14,17.327578320967064,87.08880721513191,4,1554266097,192.168.1.190,43530,192.168.1.190,7878,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
68,16,21,65.57971619363755,-110.45569773720764,5,1554270533,192.168.1.6,53922,239.255.255.250,1900,udp,-,1.06536,375,0,S0,0,3,459,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
37,18,11,-16.421681245364397,22.19368960254664,4,1556261231,166.64.77.181,17644,192.168.1.190,80,tcp,-,31.619614,0,0,S1,0,1,40,6,264,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
38,14,12,-26.23125129747504,-94.73387900640358,3,1556340867,192.168.1.32,32896,192.168.1.195,80,tcp,-,0.0,0,0,RSTRH,0,0,0,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
55,12,16,-72.31925496484472,-56.28662088656567,3,1556172860,192.168.1.30,56242,192.168.1.190,80,tcp,http,0.238211,274,0,S1,0,3,438,2,112,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
49,12,10,-66.65546180233413,-22.302271359443463,3,1556340865,192.168.1.32,52220,176.28.50.165,80,tcp,-,0.0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
21,10,24,88.74267637247357,-173.2493189725654,5,1556130153,192.168.1.30,66,192.168.1.193,66,tcp,-,4.1e-05,0,0,REJ,0,1,40,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,dos
56,12,14,-37.86927965581483,83.55272488930024,3,1554252657,192.168.1.152,34296,192.168.1.152,10502,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
26,18,18,-10.3750077090274,-37.87417691325536,4,1556296931,192.168.1.190,19540,198.51.45.1,53,udp,dns,0.128429,47,63,SF,0,1,75,1,91,dns2.p05.nsone.net,1,1,0,T,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
71,15,20,-26.11135198694253,-113.58961969470992,3,1556248394,192.168.1.180,53842,192.168.1.190,53,udp,dns,0.000681,38,125,SF,0,1,66,1,153,sg.whois-servers.net,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
60,15,22,-78.8943338775816,-29.127954890082464,3,1556259059,253.124.113.120,45239,192.168.1.152,80,tcp,-,0.0,0,0,SH,0,1,40,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
64,17,17,-5.297044608691252,6.931628084372562,4,1556423414,192.168.1.1,41952,192.168.1.195,49671,tcp,-,0.0,0,0,OTH,0,1,1500,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
46,10,11,39.42414994974925,-153.89562014461546,5,1556021785,192.168.1.32,61173,192.168.1.186,27355,tcp,-,0.0,0,0,S0,0,1,44,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,scanning
20,13,15,-6.732558648987862,-176.48441553454617,3,1554259015,192.168.1.152,42352,192.168.1.190,53,udp,dns,0.000424,0,298,SHR,0,0,0,2,354,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
27,14,16,-86.65299142088945,9.11363659513421,3,1554283187,2405:6e00:10ce:2c00:a691:b1ff:fe1e:5790,135,ff02::1:ff3b:3b2d,136,icmp,-,0.0,0,0,OTH,0,1,72,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
37,10,23,-29.64727837207468,-11.562660934850868,4,1554312938,192.168.1.152,57156,192.168.1.190,53,udp,dns,0.279463,0,644,SHR,0,0,0,2,700,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
43,15,12,-44.02831536643301,34.384200338152624,4,1556260702,192.168.1.190,43965,192.254.96.3,53,udp,dns,0.278745,53,53,SF,0,1,81,1,81,9.197.24.69.in-addr.arpa,1,12,5,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
51,11,16,8.275315663504955,-110.96850578881818,5,1556287082,192.168.1.31,42910,192.168.1.190,80,tcp,http,0.010575,147,651,SF,0,5,415,5,919,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,password
35,11,23,88.9514082735686,-84.67102274218827,5,1554293974,192.168.1.152,53972,192.168.1.152,10502,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
65,10,18,-81.32043279433665,12.49994584178296,3,1556340876,192.168.1.32,35052,52.28.231.150,80,tcp,-,0.0,0,0,SH,0,1,64,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
75,10,23,-79.77598955306114,29.21503124027092,3,1556248951,172.17.0.3,38161,192.168.1.190,53,udp,dns,0.001086,0,636,SHR,0,0,0,2,692,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
32,19,20,35.908583260005315,-143.9520089177454,5,1556172892,192.168.1.30,37606,18.184.104.180,80,tcp,http,1.010567,221,12183,SF,0,7,593,12,12815,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,injection
73,14,11,61.80002688788409,109.99718178900042,5,1556260759,192.168.1.190,51374,203.119.86.101,53,udp,dns,0.021159,47,378,SF,0,1,75,1,406,4.199.in-addr.arpa,1,43,0,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
89,13,18,-60.785418327179926,-33.2661915290424,3,1556362692,192.168.1.195,61178,239.255.255.250,1900,udp,-,3.327522,3016,0,S0,0,24,3688,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
23,11,22,-34.6650513694143,162.66463123033492,3,1554295662,127.0.0.1,42100,127.0.0.1,7878,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
82,12,11,32.33192678571034,148.98450695186375,5,1556355255,192.168.1.195,62401,192.168.1.79,9197,tcp,http,0.008885,188,3478,SF,0,5,400,7,3770,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
65,13,19,31.252694147143544,77.9481700796374,4,1556203822,192.168.1.30,33515,192.168.1.1,53,udp,dns,3e-06,54,54,SF,0,1,82,1,82,testphp.vulnweb.com/listproducts.php,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
97,11,14,-33.88346514312537,-70.88762160749252,5,1556287070,192.168.1.30,42324,192.168.1.152,21,tcp,-,0.000187,0,0,REJ,0,1,60,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,password
100,20,18,10.536587965025802,-140.63594844877542,5,1554258435,127.0.0.1,42100,127.0.0.1,7878,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
88,18,18,80.4185259469773,52.876165497680205,5,1554296153,192.168.1.190,43530,192.168.1.190,7878,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
11,18,16,48.04653469221668,-5.503285006843697,4,1554216027,192.168.1.152,1880,192.168.1.152,51782,tcp,-,0.0,0,0,OTH,0,0,0,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
