TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude
95,12.28965368,28,15,18,87.31313676,-26.35627018
96,13.44471861,17,11,12,-11.99705545,23.94062341
97,12.48878788,23,15,22,89.39378882,20.75592052
98,13.66727273,94,18,10,9.576628356,-148.6849794
99,12.71134199,15,14,25,-45.95646222,6.259223739
100,13.77727273,23,19,21,-13.69155316,75.53362611
101,13.17632035,45,15,18,-64.53568036,45.67186762
102,13.90281385,67,14,23,10.56109118,123.7051083
103,13.55727273,31,14,21,-33.26422514,136.6568992
104,14.01281385,53,10,22,-12.87910021,178.168362
105,14.01281385,27,14,25,60.05892962,-74.34852408
106,14.32450216,37,17,13,-64.73894073,-109.1584342
107,14.43450216,65,10,13,12.68253431,-28.06033909
108,14.75229437,83,10,13,-73.26865138,-27.24271815
109,14.54450216,41,12,12,-33.25391941,-34.81871508
110,14.86229437,68,10,11,2.37241022,-17.22923096
111,14.97229437,12,15,25,39.90239177,-111.4429875
112,15.19917749,15,20,17,63.00467362,152.5638808
113,15.08229437,70,10,12,-57.53286157,121.5881404
114,15.41917749,33,14,12,76.7870418,46.98843525
115,15.30917749,41,13,23,-70.11284014,162.1509492
116,15.67636364,19,13,15,48.63691198,-92.36173584
117,15.41917749,75,12,23,-5.844646212,-124.4216782
118,15.89636364,11,18,21,-31.5762403,-57.26401825
119,15.56636364,37,19,17,-65.62592079,141.445065
120,16.33714286,77,17,24,-76.50570735,133.9162488
121,15.78636364,63,14,18,-81.16387602,158.9178009
122,16.84896104,26,14,25,73.42857248,88.66196441
123,16.11714286,40,12,15,13.69111527,-29.48117225
124,17.17896104,56,19,10,53.74683209,88.28350526
125,16.22714286,10,16,11,-13.14636265,146.7364611
126,17.28896104,35,20,17,86.60897602,-100.578458
127,16.51896104,24,12,13,32.12593358,-58.00103976
128,17.39896104,55,20,21,62.51831926,-11.96966232
129,16.62896104,53,12,13,66.03903241,-137.0165051
130,17.61896104,60,15,22,74.54411486,65.20670399
131,16.73896104,29,11,12,70.22458731,-79.34464285
132,17.93675325,45,19,13,-59.59343441,73.0262029
133,16.95896104,17,13,23,-57.8934734,-62.72568119
134,18.16619048,95,12,25,64.48009404,-87.40858861
135,17.06896104,16,13,18,-88.32563522,-83.29690803
136,18.27874459,100,18,12,36.63939133,85.8606804
137,17.50896104,23,12,25,13.13396154,-25.10976493
138,18.38874459,89,11,17,-38.9613604,160.5002983
139,17.72896104,56,19,16,-36.38057747,-82.98825949
140,18.60874459,17,10,23,76.15174465,126.3654031
141,18.05363636,97,16,20,60.03036183,56.0947341
142,19.015671,39,18,18,-87.37506042,134.6352662
143,18.49874459,87,19,18,-69.20742804,-59.616408
144,19.125671,77,15,17,-34.62246034,72.62528096
145,18.60874459,35,14,14,-50.45799742,-63.32947083
146,19.45822511,72,18,25,-53.13811313,152.1818602
147,18.85116883,23,11,15,39.49691344,-30.08434579
148,19.56822511,87,14,10,-35.44628526,-121.1035131
149,19.235671,53,16,10,15.77784455,-106.6844302
150,19.67822511,77,11,12,-49.10437305,-48.42311319
151,19.34822511,43,13,23,-77.22833188,119.7690487
152,19.96571429,77,16,15,-81.66073356,133.2283676
153,19.78822511,78,17,16,67.55059907,-58.69235146
154,20.24021645,95,15,19,-29.54364566,173.5123438
155,20.13021645,81,10,23,67.38805108,117.944963
156,20.65935065,22,12,18,-10.83495862,-106.9516711
157,20.35021645,37,16,14,-85.53607639,-119.6712524
158,20.87935065,80,13,19,60.29443376,-116.3194888
159,20.54935065,96,15,21,-84.68189795,54.9887039
160,21.15385281,31,11,19,6.369141306,-108.544864
161,20.76935065,39,14,14,9.691626426,-19.46542137
162,21.26385281,99,12,25,-10.98337848,-161.6653939
163,20.87935065,20,12,15,-75.92551855,-155.1835828
164,21.5538961,40,12,11,59.42199576,-40.36559847
165,21.04385281,97,13,18,-10.27042425,-110.0065146
166,21.9687013,82,19,24,-84.18409963,-108.8464913
167,21.26385281,74,10,22,29.68850936,-179.2302432
168,22.38606061,19,20,24,87.4831737,-52.79636453
169,21.6638961,43,12,24,-34.69403038,-95.88687774
170,22.82251082,12,10,21,68.59152406,-146.2909451
171,21.8587013,98,17,11,-24.19297026,150.5800043
172,23.105671,15,19,23,56.94773737,-90.26989609
173,22.27606061,95,12,10,19.23957809,176.0389312
174,23.325671,54,16,12,-74.72557222,31.23043703
175,22.49606061,24,11,18,-57.15153997,130.3862782
176,23.6287013,94,15,12,11.67764832,92.87792235
177,22.71251082,89,20,12,74.97511058,88.75569887
178,23.94649351,61,13,17,84.35867071,108.053022
179,22.995671,24,17,22,-42.90259909,120.611938
180,24.05649351,25,16,10,-66.39889851,-126.1048818
181,23.215671,74,12,19,-25.30473047,-66.72277075
182,24.27649351,50,18,13,-89.2264845,-148.1065268
183,23.48151515,34,18,11,37.19921324,85.74267079
184,24.68341991,47,10,16,14.22349893,-108.7701157
185,23.83649351,27,15,24,-26.59273633,130.751863
186,24.79341991,30,13,11,28.94162835,30.44795174
187,24.16649351,78,12,12,76.92088447,-75.64832943
188,25.01341991,40,15,22,70.6456514,96.29598489
189,24.53623377,51,15,12,-28.15620098,-148.2891467
190,25.41601732,59,19,24,40.38803153,18.00659059
191,24.90341991,41,18,11,-65.40247138,35.46639574
192,25.52601732,58,20,23,50.37558773,93.25232594
193,25.16493506,53,13,23,42.19009899,124.9293757
194,25.74857143,81,14,21,51.13591382,124.5115246
195,25.63601732,29,12,25,-20.45852917,24.48815597
196,25.85857143,31,13,16,89.3724456,156.4309028
197,25.85857143,37,10,11,-50.87823251,-45.96032073
198,25.96857143,62,10,11,-43.28902176,-139.8116306
199,26.07857143,69,19,19,-20.18977462,-65.49337724
200,26.43532468,54,14,17,32.46258273,-7.690397643
201,26.32532468,17,11,25,26.44274597,23.54237017
202,26.80939394,22,14,25,-28.79810175,-132.0486381
203,26.58683983,65,10,20,-2.163108616,-64.49129407
204,27.27004329,58,10,14,16.75661859,107.1373814
205,26.69939394,87,20,18,-79.50565423,146.8990499
206,27.56874459,50,17,15,-71.97873968,127.6232051
207,26.80939394,25,13,13,-15.42405604,-32.0540075
208,27.94281385,88,10,15,69.21921869,62.95902418
209,27.16004329,36,18,21,-52.66459084,-141.8822681
210,28.05281385,46,20,17,34.38007233,-128.0212403
211,27.67874459,50,20,17,85.37822481,-143.495896
212,28.30822511,11,19,14,1.368580571,-147.713232
213,27.79562771,52,18,15,-22.36824288,154.1555667
214,28.54376623,40,14,19,42.07599947,-44.08788975
215,28.05281385,62,16,20,-7.155664745,33.07450574
216,28.79229437,66,19,10,-51.54271008,122.1123219
217,28.43376623,52,16,21,55.07292114,-14.64291962
218,28.90229437,95,17,11,0.178609901,161.7910522
219,28.65376623,29,13,19,62.58554492,-135.0065709
220,29.01229437,85,12,15,-32.22576174,104.2858339
221,28.90229437,56,17,12,39.36697439,80.41670759
222,29.12229437,88,20,18,58.15618508,-33.49674268
223,29.12229437,67,13,17,-65.15206838,54.9384481
224,29.45229437,33,17,23,-56.82186526,-172.5235403
225,29.23229437,29,16,17,89.15281506,-161.1201303
226,29.56229437,50,13,15,-45.36262232,109.1768532
227,29.34229437,64,17,13,-2.165153615,13.49247071
228,29.78229437,61,20,12,-68.00580782,-95.41082347
229,29.67229437,85,14,15,-84.51754944,174.3110116
230,30.1174026,71,20,11,-56.3897068,118.7101245
231,30.0074026,86,17,17,-40.72019957,34.3566602
232,30.55640693,99,12,24,-11.47603025,-12.22909779
233,30.33385281,69,13,23,85.46047517,-67.54754029
234,30.66640693,27,17,24,66.20154611,-104.831479
235,30.44640693,34,16,19,65.28133216,-63.63906562
236,30.78761905,56,11,23,76.8817066,-48.45319865
237,30.55640693,97,17,12,66.22248591,136.339737
238,31.07943723,83,18,10,-29.01319856,179.9030401
239,30.96943723,46,10,21,61.43228599,20.40392712
240,31.29943723,59,16,24,-61.26589826,179.5477015
241,31.18943723,64,20,20,-48.00361435,-128.6844465
242,31.40943723,31,17,13,-60.36498012,-123.1898645
243,31.62943723,42,18,24,-42.55318293,-152.4560438
244,31.51943723,46,20,24,-82.01999873,-107.4335553
245,31.73943723,28,15,14,73.30092694,113.8127623
246,31.84943723,67,15,14,87.46359975,-50.51239237
247,32.1325974,94,15,25,7.758466155,-146.7000902
248,32.0225974,38,10,21,64.67489656,-84.13128569
249,32.40532468,59,14,15,13.97995344,51.62614805
250,32.51532468,97,11,10,-33.28977453,-172.6404354
251,32.81147186,100,17,15,82.68920209,-106.488848
252,32.62532468,78,17,12,11.1557124,-12.85482137
253,33.09030303,25,15,10,71.60131068,-34.94557764
254,32.98030303,78,10,10,1.954504109,-20.28123023
255,33.20030303,27,14,25,-84.29492979,116.1092484
256,33.20030303,93,11,18,-11.84426405,52.8135085
257,33.58735931,52,11,14,-7.292955751,-3.040334559
258,33.47735931,42,10,19,-24.97247659,114.7478218
259,33.93112554,22,15,17,71.07212388,-32.33161174
260,33.82112554,44,18,23,-36.1774166,82.35563099
261,34.32939394,89,14,15,46.30409697,118.2272945
262,34.1908658,22,20,25,-73.32062711,-146.5690034
263,34.71900433,12,12,22,-83.73480409,-17.67949495
264,34.50255411,72,14,12,84.28389463,-53.16047201
265,34.93900433,29,20,19,-62.03261204,71.72142834
266,34.82900433,48,15,20,36.73909053,-21.48194086
267,35.15545455,57,16,16,-58.06199805,1.762761434
268,35.26545455,57,10,25,-68.67373373,-127.7922748
269,35.48545455,85,17,14,-56.99053809,-48.70345665
270,35.37545455,32,18,12,43.12750853,-128.8082617
271,35.60233766,27,12,13,-62.95990836,123.5469819
272,35.71233766,89,12,10,-76.17110002,48.70125901
273,36.02147186,69,11,21,87.78180182,40.0844497
274,35.91147186,64,15,19,-74.30501878,-17.20695005
275,36.13147186,72,20,20,46.88199038,77.84052727
276,36.24147186,20,19,11,-88.7164186,-38.92030699
277,36.24147186,58,11,11,10.31312652,-16.53186708
278,36.35147186,50,16,18,15.80440559,56.64532343
279,36.35147186,56,10,18,-4.986853121,-158.2255282
280,36.604329,20,18,18,9.91642757,-112.6871792
281,36.46147186,84,17,16,72.84416666,131.4260264
282,36.87017316,97,10,10,-14.80896664,96.27246598
283,36.714329,13,16,18,-60.70160534,-137.4008343
284,37.28930736,31,16,25,85.692104,-120.9223083
285,36.98017316,66,11,11,20.91960994,-153.4503205
286,37.46246753,14,14,24,37.06930329,85.17634743
287,37.17930736,38,17,24,-8.547774134,23.77408561
288,37.73952381,74,19,25,-32.05714951,-147.8666689
289,37.59233766,38,13,14,54.72081466,28.44977749
290,38.10060606,17,17,13,50.98236596,125.0421199
291,37.99060606,24,13,15,0.992694421,98.51025749
292,38.27376623,39,11,15,63.28928302,-166.3449673
293,38.38376623,14,20,22,18.82359683,35.48737897
294,38.65393939,91,13,15,-78.40913796,-143.6931512
295,38.49376623,52,12,11,27.76251953,-95.66361294
296,38.76393939,96,11,23,-74.7048092,-93.56665122
297,38.87393939,68,13,16,37.96254204,38.75436693
298,39.14411255,73,20,15,-24.88394808,145.9922471
299,39.03411255,80,16,16,75.14796896,37.83401275
300,39.26965368,55,11,12,30.55320408,24.91625994
301,39.53982684,46,19,14,40.27884746,-156.8637952
302,39.42982684,57,19,13,69.33726273,-150.3133362
303,39.88536797,37,15,11,-44.19903547,-111.4487177
304,39.64982684,51,14,13,-52.36178621,-86.69684169
305,40.29662338,100,19,25,-77.04873378,124.8379678
306,39.77536797,99,11,14,32.83211762,92.36977834
307,40.57545455,13,10,22,-27.10006105,114.8876197
308,40.04121212,37,18,14,-59.81292315,105.9512911
309,41.02489177,82,16,24,-44.41853292,55.80021482
310,40.46545455,44,20,22,87.6537344,-104.996112
311,41.24489177,18,17,12,-50.65894592,-26.20110714
312,40.68545455,10,13,13,-29.33901897,178.4030164
313,41.46744589,98,16,21,-60.26161299,-57.05108095
314,40.91489177,98,12,13,-58.35346431,128.454063
315,41.88480519,78,18,22,1.561054144,-37.08794283
316,41.13489177,75,12,22,50.65967527,113.681024
317,41.99480519,84,14,11,70.91849645,5.504015236
318,41.35744589,87,15,11,89.86104514,-93.45702534
319,42.10480519,83,18,12,-31.48220601,-22.72346184
320,41.77480519,57,11,17,-23.553613,-94.97350329
321,42.21480519,45,19,24,58.83412599,-163.1793633
322,42.10480519,15,15,12,-5.812160605,-170.7467066
323,42.42692641,15,20,18,12.177655,90.77411395
324,42.53692641,83,12,14,81.92760992,62.12606088
325,42.53692641,62,15,20,63.01907335,-31.8013615
326,42.64692641,19,16,24,-60.02877357,6.293288696
327,42.75692641,98,13,18,-52.2712198,25.05531864
328,42.88246753,35,20,24,49.22115868,70.83233048
329,42.99246753,23,12,15,71.64160704,169.7229102
330,43.18294372,100,11,22,47.38712965,147.9702952
331,43.35177489,38,14,13,-18.66018454,148.93645
332,43.464329,83,14,19,71.46522043,-39.54727695
333,43.574329,77,14,14,-17.53603897,47.79292895
334,43.684329,39,11,20,27.24716756,-14.55770644
335,43.904329,74,17,11,68.61410109,170.5467409
336,43.794329,83,15,15,-30.95317643,-151.9924711
337,44.3130303,73,20,13,23.30089993,9.354850563
338,44.014329,95,13,23,-19.97314398,124.2427737
339,44.68709957,24,11,13,67.4612466,-19.05373141
340,44.4230303,94,13,21,82.37238248,-119.2859786
341,44.82562771,36,16,16,-85.98353503,-56.9545873
342,44.82562771,41,20,19,31.04142923,-5.350792355
343,45.16073593,100,11,12,24.19322853,-139.1286733
344,45.05073593,28,11,15,-17.78347239,-63.96234374
345,45.42480519,52,11,14,-5.261992625,-6.314748203
346,45.16073593,71,15,21,-59.55790684,165.3021898
347,45.55467532,41,18,10,64.90311818,-71.36577165
348,45.29493506,86,16,24,2.627150975,-94.4219204
349,45.96948052,61,17,14,37.17924316,-161.7490279
350,45.42480519,14,18,14,51.37148012,-41.61420152
351,46.2569697,29,20,24,48.26967425,127.4133834
352,45.74948052,14,12,18,-68.50488037,16.33938183
353,46.5869697,34,15,13,55.7418774,-83.63850094
354,45.85948052,74,18,10,74.04413541,104.0570082
355,46.71251082,66,14,17,-2.811633299,148.5580894
356,46.1469697,30,15,22,-28.07117686,78.08648126
357,46.93251082,89,20,16,80.0029918,66.78438611
358,46.3669697,72,15,16,38.57810255,-138.4342626
359,47.04251082,14,12,18,-32.13723907,76.96725179
360,46.4769697,90,20,20,-46.34093965,-178.7199081
361,47.15251082,10,13,12,28.05282016,-133.6713222
362,46.82251082,29,19,23,14.48089602,-149.2477273
363,47.57852814,61,16,23,38.01145192,167.3332789
364,47.26251082,88,12,14,-47.08210146,54.46002446
365,47.68852814,81,16,25,-32.92345167,27.79289912
366,47.68852814,37,12,15,-9.04072441,23.99068711
367,48.08857143,87,13,18,68.07922804,-151.4790836
368,47.80541126,77,20,14,-46.08610239,150.3443598
369,48.32844156,28,10,11,-69.42381257,47.35985966
370,47.91541126,36,14,18,68.75496605,-120.187127
371,48.6747619,36,20,25,-9.691972644,-158.7744873
372,48.19857143,43,20,21,-12.15646927,-80.62533532
373,48.7847619,16,13,16,-17.0108129,12.94001715
374,48.49727273,99,14,12,74.32424657,-142.0230761
375,49.03584416,38,10,20,85.93235408,-155.4507329
376,48.7847619,26,19,12,17.3818021,-124.8440063
377,49.26705628,33,13,21,-32.44146098,28.41122406
378,49.14584416,100,14,20,33.96938382,14.40047857
379,49.65588745,54,12,25,-11.35834524,-172.1378126
380,49.43588745,10,13,23,83.99709297,-7.205611304
381,49.77709957,17,19,14,76.65596098,161.4619937
382,49.54588745,67,20,16,-7.986289117,-98.15251549
383,50.06891775,93,16,18,-55.35179837,-74.22182974
384,49.65588745,79,14,20,-28.69175599,-118.5267209
385,50.37372294,59,16,24,48.9892186,148.618882
386,49.95891775,22,17,18,0.999917749,-14.99670115
387,50.79974026,83,20,15,48.32258387,-50.86724397
388,50.26372294,34,14,25,18.08837352,144.694693
389,51.12441558,55,13,19,-28.01773578,-144.2998669
390,50.68974026,13,16,20,-60.49297252,-99.04769135
391,51.54,95,15,24,-23.36232496,-78.70042376
392,50.97722944,20,12,11,-89.39059916,23.89679245
393,51.65,77,13,23,-16.75927067,56.12137866
394,51.37116883,76,19,13,16.94322135,50.84856382
395,52.03705628,13,18,19,71.50533889,-172.5627329
396,51.76,80,14,15,50.89749347,178.5508306
397,52.14705628,76,12,19,-86.25381478,-28.47984534
398,52.25705628,63,18,25,87.37327508,-80.84910179
399,52.47705628,19,17,23,-79.66740053,-81.01896788
400,52.36705628,11,19,13,-4.121715807,-165.1960753
401,52.69705628,41,20,15,-56.66604897,-63.08302854
402,52.58705628,22,14,18,-8.172531718,-141.7286219
403,53.11008658,93,16,17,85.90701586,-72.54339555
404,53.00008658,46,14,15,-84.05622497,162.6861041
405,53.33008658,74,20,20,-78.42562169,38.23954411
406,53.22008658,11,11,12,45.75768941,144.3020452
407,53.55519481,62,12,20,-79.27513764,84.68523162
408,53.55519481,69,19,21,55.69958659,-125.5203614
409,53.9552381,66,14,10,34.8974522,-171.3091664
410,53.73268398,55,14,19,-73.29579927,9.635596901
411,54.34662338,73,18,23,33.32363187,-128.9167612
412,53.8452381,66,13,21,-16.64586551,166.64084
413,54.56662338,59,18,25,-83.00269532,-91.66976484
414,54.0652381,22,13,17,-27.3732186,-123.8338344
415,54.94502165,33,19,14,-29.57112181,69.99625783
416,54.45662338,45,12,25,87.44649573,26.32834496
417,55.43774892,70,10,22,-24.46023656,-97.27127865
418,54.83502165,77,16,25,-42.09759181,-10.05075034
419,55.85688312,32,20,12,55.14937207,-143.9404412
420,55.05502165,77,11,15,-76.10170706,-61.44384419
421,55.96688312,30,10,20,30.24028537,-107.6361648
422,55.32774892,49,15,21,62.71438957,-156.6538626
423,56.12272727,23,14,17,-89.35544141,-46.18920567
424,55.43774892,34,10,12,-52.17245498,61.70993487
425,56.37991342,56,19,14,-19.34898329,-134.5298112
426,55.54774892,15,17,17,-64.15551182,52.8278785
427,56.48991342,50,13,14,-45.88125333,118.9532227
428,55.74688312,19,13,15,76.45972379,-104.9518301
429,56.61978355,46,14,17,36.69471326,-20.1384218
430,55.96688312,84,14,11,-86.41753984,79.42300166
431,56.83978355,10,13,23,-46.08787135,-32.80868652
432,56.26991342,36,17,20,-4.498651562,141.0545
433,57.11251082,68,11,19,-48.79859737,-70.80029168
434,56.72978355,57,14,24,-59.45750378,-163.1184533
435,57.45805195,41,11,21,-71.2111482,159.2127881
436,57.22251082,33,18,21,60.55388952,80.34606534
437,57.56805195,97,12,15,82.9734797,-79.22392768
438,57.34805195,64,13,23,-86.94521335,155.2470625
439,57.79926407,26,18,10,10.3776822,72.40131903
440,57.68926407,39,12,22,5.449138207,-104.7474747
441,58.01926407,62,13,22,1.991411916,-146.4804589
442,57.90926407,19,12,19,69.18023401,153.7846698
443,58.12926407,57,19,19,-64.01221733,-173.9720609
444,58.12926407,30,11,25,-55.1745353,-150.9347869
445,58.37601732,88,13,20,-29.22283236,125.4686006
446,58.51021645,25,20,17,-43.17931988,25.8497727
447,58.80203463,55,17,11,-72.58979036,131.086741
448,58.69203463,53,15,17,-45.08562734,-0.241063926
449,58.91203463,68,19,16,-23.06864398,29.69789772
450,58.80203463,81,14,24,-19.37160172,114.7844593
451,59.02203463,27,18,17,-10.26782917,138.6855638
452,58.91203463,89,12,17,-57.1356081,-83.95675407
453,59.39787879,11,13,13,21.77112812,-152.1514411
454,59.13203463,97,12,23,49.06761813,69.31259059
455,59.825671,24,14,18,3.805685915,139.8408057
456,59.28787879,76,19,21,-45.3405707,55.89926329
457,60.07852814,64,10,11,35.52489584,146.7379185
458,59.39787879,16,18,21,-20.37924878,146.012832
459,60.51320346,67,16,16,-68.61209501,-79.81659049
460,59.50787879,12,18,13,-28.46014919,-13.87715934
461,60.85264069,35,18,23,80.95248448,58.96317056
462,59.715671,100,10,21,-80.9306649,145.983561
463,61.1661039,49,18,16,48.90056319,-119.9976339
464,59.96852814,27,18,25,11.60752996,123.4966068
465,61.46225108,10,17,17,52.26859112,170.2396354
466,60.26900433,77,19,13,51.5425953,58.40228802
467,61.68225108,93,14,18,1.905288962,-25.69177435
468,60.40320346,52,12,24,68.06055541,89.36826383
469,61.79225108,43,17,22,46.02306042,-126.7047331
470,60.51320346,70,14,23,81.95061819,36.56548224
471,62.09528139,50,16,11,79.62108402,-83.23600285
472,60.62320346,26,13,16,-53.61116244,69.3519416
473,62.37844156,56,16,13,30.77398609,-162.5923455
474,60.96264069,33,19,20,-18.65481337,-22.45608752
475,62.74385281,47,12,18,-36.22862303,-132.0852771
476,61.35225108,24,10,17,83.23601524,164.2275954
477,63.05731602,93,20,19,33.51806325,-127.3255018
478,61.57225108,61,17,25,51.2565805,-47.97818975
479,63.58467532,43,19,12,-87.21210269,117.9678188
480,61.97839827,91,13,25,-28.6482765,74.20596453
481,63.77082251,88,15,16,24.76406835,-83.29782761
482,62.20528139,74,12,17,-12.88212147,81.02988567
483,63.88082251,26,12,11,-89.15634253,-55.78768038
484,62.5212987,60,10,12,11.67958032,43.11554935
485,63.99770563,89,11,19,22.12327768,178.7103517
486,62.63385281,34,12,20,20.02813321,-156.270101
487,64.21848485,50,11,21,-37.95871343,-19.15597162
488,62.74385281,63,11,17,77.9565827,77.73015142
489,64.43848485,69,10,18,-31.51347291,39.95072016
490,62.85385281,82,18,24,41.89951675,154.8376709
491,64.55969697,45,12,12,-4.038855372,96.5573977
492,63.20017316,65,15,10,-52.36841273,156.2755379
493,64.97705628,86,20,18,40.27615185,-107.5588728
494,63.31017316,65,12,24,-54.88805041,122.7446955
495,65.11125541,15,10,13,-35.74476953,-93.81227875
496,63.47467532,95,17,12,-16.81455362,-42.75363842
497,65.53727273,26,17,24,26.57983154,-95.27343107
498,63.88082251,71,17,10,2.115452869,-112.9751727
499,65.64727273,80,20,16,62.13291613,68.37971687
500,64.32848485,47,18,11,-67.05429585,41.5937279
501,66.04909091,33,19,15,30.68470425,148.7579923
502,64.66969697,53,12,12,41.11335003,79.4528515
503,66.26909091,52,18,11,29.11618006,53.57176363
504,64.86450216,89,14,21,48.21475532,102.4087131
505,66.64926407,44,14,20,-56.88491164,113.8446036
506,65.24112554,33,19,17,83.2418906,-37.91886183
507,66.76614719,14,14,25,77.29742086,119.1722005
508,65.42727273,89,14,18,6.248536884,-35.92293366
509,66.98614719,99,10,21,68.86011509,-84.05642101
510,65.75727273,71,19,15,66.82886118,-61.60688798
511,67.20614719,96,16,16,-29.30182269,165.2621027
512,65.86727273,39,16,24,-82.94168334,29.76207691
513,67.31614719,27,10,17,-21.761873,-62.45365144
514,66.15909091,68,16,10,-59.57223359,-21.12629735
515,67.68588745,47,15,25,-87.8205952,-71.26374866
516,66.42926407,26,10,16,67.68199757,-68.87388189
