TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterID,ENSEMBLE_predicted_DC
64,15,20,-49.6059937,67.92999332,4,4
10,19,11,5.231078235,-107.7587888,5,5
25,11,25,43.54240079,16.15949041,4,4
10,14,18,51.82660213,54.30256554,4,4
77,10,19,21.98333568,-11.8459982,5,5
55,15,11,-55.28268014,14.48007881,3,3
22,20,23,-32.01627504,42.57061188,4,4
87,14,21,85.42837506,21.68435626,5,5
14,19,15,84.62820163,15.35178324,5,5
38,12,14,17.32757832,87.08880722,4,4
68,16,21,65.57971619,-110.4556977,5,5
37,18,11,-16.42168125,22.1936896,4,4
38,14,12,-26.2312513,-94.73387901,3,3
55,12,16,-72.31925496,-56.28662089,3,3
49,12,10,-66.6554618,-22.30227136,3,3
21,10,24,88.74267637,-173.249319,5,5
56,12,14,-37.86927966,83.55272489,3,3
26,18,18,-10.37500771,-37.87417691,4,4
71,15,20,-26.11135199,-113.5896197,3,3
60,15,22,-78.89433388,-29.12795489,3,3
64,17,17,-5.297044609,6.931628084,4,4
46,10,11,39.42414995,-153.8956201,5,5
20,13,15,-6.732558649,-176.4844155,3,3
27,14,16,-86.65299142,9.113636595,3,3
37,10,23,-29.64727837,-11.56266093,4,4
43,15,12,-44.02831537,34.38420034,4,4
51,11,16,8.275315664,-110.9685058,5,5
35,11,23,88.95140827,-84.67102274,5,5
65,10,18,-81.32043279,12.49994584,3,3
75,10,23,-79.77598955,29.21503124,3,3
32,19,20,35.90858326,-143.9520089,5,5
73,14,11,61.80002689,109.9971818,5,5
89,13,18,-60.78541833,-33.26619153,3,3
23,11,22,-34.66505137,162.6646312,3,3
82,12,11,32.33192679,148.984507,5,5
65,13,19,31.25269415,77.94817008,4,4
97,11,14,-33.88346514,-70.88762161,5,5
100,20,18,10.53658797,-140.6359484,5,5
88,18,18,80.41852595,52.8761655,5,5
11,18,16,48.04653469,-5.503285007,4,4
28,15,18,87.31313676,-26.35627018,5,5
17,11,12,-11.99705545,23.94062341,4,4
23,15,22,89.39378882,20.75592052,5,5
94,18,10,9.576628356,-148.6849794,3,3
15,14,25,-45.95646222,6.259223739,4,4
23,19,21,-13.69155316,75.53362611,4,4
45,15,18,-64.53568036,45.67186762,3,3
67,14,23,10.56109118,123.7051083,4,4
31,14,21,-33.26422514,136.6568992,3,3
53,10,22,-12.87910021,178.168362,3,3
27,14,25,60.05892962,-74.34852408,5,5
37,17,13,-64.73894073,-109.1584342,3,3
65,10,13,12.68253431,-28.06033909,4,4
83,10,13,-73.26865138,-27.24271815,3,3
41,12,12,-33.25391941,-34.81871508,4,4
68,10,11,2.37241022,-17.22923096,5,5
12,15,25,39.90239177,-111.4429875,5,5
15,20,17,63.00467362,152.5638808,4,4
70,10,12,-57.53286157,121.5881404,3,3
33,14,12,76.7870418,46.98843525,5,5
41,13,23,-70.11284014,162.1509492,3,3
19,13,15,48.63691198,-92.36173584,5,5
75,12,23,-5.844646212,-124.4216782,5,5
11,18,21,-31.5762403,-57.26401825,4,4
37,19,17,-65.62592079,141.445065,3,3
77,17,24,-76.50570735,133.9162488,3,3
63,14,18,-81.16387602,158.9178009,3,3
26,14,25,73.42857248,88.66196441,4,4
40,12,15,13.69111527,-29.48117225,4,4
56,19,10,53.74683209,88.28350526,4,4
10,16,11,-13.14636265,146.7364611,3,3
35,20,17,86.60897602,-100.578458,5,5
24,12,13,32.12593358,-58.00103976,5,5
55,20,21,62.51831926,-11.96966232,5,5
53,12,13,66.03903241,-137.0165051,5,5
60,15,22,74.54411486,65.20670399,5,5
29,11,12,70.22458731,-79.34464285,4,4
45,19,13,-59.59343441,73.0262029,3,3
17,13,23,-57.8934734,-62.72568119,3,4
95,12,25,64.48009404,-87.40858861,5,5
16,13,18,-88.32563522,-83.29690803,3,3
100,18,12,36.63939133,85.8606804,4,4
23,12,25,13.13396154,-25.10976493,4,4
89,11,17,-38.9613604,160.5002983,3,3
56,19,16,-36.38057747,-82.98825949,3,3
17,10,23,76.15174465,126.3654031,4,4
97,16,20,60.03036183,56.0947341,5,5
39,18,18,-87.37506042,134.6352662,3,3
87,19,18,-69.20742804,-59.616408,3,3
77,15,17,-34.62246034,72.62528096,4,4
35,14,14,-50.45799742,-63.32947083,4,4
72,18,25,-53.13811313,152.1818602,3,3
23,11,15,39.49691344,-30.08434579,4,4
87,14,10,-35.44628526,-121.1035131,3,3
53,16,10,15.77784455,-106.6844302,5,5
77,11,12,-49.10437305,-48.42311319,4,4
43,13,23,-77.22833188,119.7690487,3,3
77,16,15,-81.66073356,133.2283676,3,3
78,17,16,67.55059907,-58.69235146,5,5
95,15,19,-29.54364566,173.5123438,3,3
81,10,23,67.38805108,117.944963,5,5
22,12,18,-10.83495862,-106.9516711,4,4
37,16,14,-85.53607639,-119.6712524,3,3
80,13,19,60.29443376,-116.3194888,5,5
96,15,21,-84.68189795,54.9887039,4,3
31,11,19,6.369141306,-108.544864,5,5
39,14,14,9.691626426,-19.46542137,4,4
99,12,25,-10.98337848,-161.6653939,3,3
20,12,15,-75.92551855,-155.1835828,3,3
40,12,11,59.42199576,-40.36559847,5,5
97,13,18,-10.27042425,-110.0065146,5,5
82,19,24,-84.18409963,-108.8464913,3,3
74,10,22,29.68850936,-179.2302432,5,5
19,20,24,87.4831737,-52.79636453,4,5
43,12,24,-34.69403038,-95.88687774,4,3
12,10,21,68.59152406,-146.2909451,5,5
98,17,11,-24.19297026,150.5800043,3,3
15,19,23,56.94773737,-90.26989609,4,5
95,12,10,19.23957809,176.0389312,5,5
54,16,12,-74.72557222,31.23043703,4,4
24,11,18,-57.15153997,130.3862782,3,3
94,15,12,11.67764832,92.87792235,4,4
89,20,12,74.97511058,88.75569887,5,5
61,13,17,84.35867071,108.053022,5,5
24,17,22,-42.90259909,120.611938,3,3
25,16,10,-66.39889851,-126.1048818,3,3
74,12,19,-25.30473047,-66.72277075,4,4
50,18,13,-89.2264845,-148.1065268,3,3
34,18,11,37.19921324,85.74267079,4,4
47,10,16,14.22349893,-108.7701157,5,5
27,15,24,-26.59273633,130.751863,3,3
30,13,11,28.94162835,30.44795174,4,4
78,12,12,76.92088447,-75.64832943,5,5
40,15,22,70.6456514,96.29598489,5,5
51,15,12,-28.15620098,-148.2891467,3,3
59,19,24,40.38803153,18.00659059,4,4
41,18,11,-65.40247138,35.46639574,4,4
58,20,23,50.37558773,93.25232594,4,4
53,13,23,42.19009899,124.9293757,5,5
81,14,21,51.13591382,124.5115246,5,5
29,12,25,-20.45852917,24.48815597,4,4
31,13,16,89.3724456,156.4309028,5,5
37,10,11,-50.87823251,-45.96032073,4,4
62,10,11,-43.28902176,-139.8116306,3,3
69,19,19,-20.18977462,-65.49337724,5,5
54,14,17,32.46258273,-7.690397643,4,4
17,11,25,26.44274597,23.54237017,4,4
22,14,25,-28.79810175,-132.0486381,3,3
65,10,20,-2.163108616,-64.49129407,5,5
58,10,14,16.75661859,107.1373814,4,4
87,20,18,-79.50565423,146.8990499,3,3
50,17,15,-71.97873968,127.6232051,3,3
25,13,13,-15.42405604,-32.0540075,4,4
88,10,15,69.21921869,62.95902418,5,5
36,18,21,-52.66459084,-141.8822681,3,3
46,20,17,34.38007233,-128.0212403,5,5
50,20,17,85.37822481,-143.495896,5,5
11,19,14,1.368580571,-147.713232,3,3
52,18,15,-22.36824288,154.1555667,3,3
40,14,19,42.07599947,-44.08788975,4,4
62,16,20,-7.155664745,33.07450574,4,4
66,19,10,-51.54271008,122.1123219,3,3
52,16,21,55.07292114,-14.64291962,5,5
95,17,11,0.178609901,161.7910522,3,3
29,13,19,62.58554492,-135.0065709,5,5
85,12,15,-32.22576174,104.2858339,3,3
56,17,12,39.36697439,80.41670759,4,4
88,20,18,58.15618508,-33.49674268,5,5
67,13,17,-65.15206838,54.9384481,4,4
33,17,23,-56.82186526,-172.5235403,3,3
29,16,17,89.15281506,-161.1201303,5,5
50,13,15,-45.36262232,109.1768532,3,3
64,17,13,-2.165153615,13.49247071,4,4
61,20,12,-68.00580782,-95.41082347,3,3
85,14,15,-84.51754944,174.3110116,3,3
71,20,11,-56.3897068,118.7101245,3,3
86,17,17,-40.72019957,34.3566602,4,4
99,12,24,-11.47603025,-12.22909779,5,5
69,13,23,85.46047517,-67.54754029,5,5
27,17,24,66.20154611,-104.831479,4,4
34,16,19,65.28133216,-63.63906562,5,5
56,11,23,76.8817066,-48.45319865,5,5
97,17,12,66.22248591,136.339737,5,5
83,18,10,-29.01319856,179.9030401,3,3
46,10,21,61.43228599,20.40392712,4,4
59,16,24,-61.26589826,179.5477015,3,3
64,20,20,-48.00361435,-128.6844465,3,3
31,17,13,-60.36498012,-123.1898645,3,3
42,18,24,-42.55318293,-152.4560438,3,3
46,20,24,-82.01999873,-107.4335553,4,4
28,15,14,73.30092694,113.8127623,5,5
67,15,14,87.46359975,-50.51239237,5,5
94,15,25,7.758466155,-146.7000902,5,5
38,10,21,64.67489656,-84.13128569,4,4
59,14,15,13.97995344,51.62614805,4,4
97,11,10,-33.28977453,-172.6404354,3,3
100,17,15,82.68920209,-106.488848,5,5
78,17,12,11.1557124,-12.85482137,4,4
25,15,10,71.60131068,-34.94557764,4,4
78,10,10,1.954504109,-20.28123023,4,4
27,14,25,-84.29492979,116.1092484,3,3
93,11,18,-11.84426405,52.8135085,4,4
52,11,14,-7.292955751,-3.040334559,4,4
42,10,19,-24.97247659,114.7478218,3,3
22,15,17,71.07212388,-32.33161174,5,5
44,18,23,-36.1774166,82.35563099,4,4
89,14,15,46.30409697,118.2272945,5,5
22,20,25,-73.32062711,-146.5690034,3,3
12,12,22,-83.73480409,-17.67949495,3,3
72,14,12,84.28389463,-53.16047201,5,5
29,20,19,-62.03261204,71.72142834,4,4
48,15,20,36.73909053,-21.48194086,5,5
57,16,16,-58.06199805,1.762761434,4,4
57,10,25,-68.67373373,-127.7922748,3,3
85,17,14,-56.99053809,-48.70345665,4,4
32,18,12,43.12750853,-128.8082617,5,5
27,12,13,-62.95990836,123.5469819,3,3
89,12,10,-76.17110002,48.70125901,4,4
69,11,21,87.78180182,40.0844497,5,5
64,15,19,-74.30501878,-17.20695005,4,4
72,20,20,46.88199038,77.84052727,4,4
20,19,11,-88.7164186,-38.92030699,3,3
58,11,11,10.31312652,-16.53186708,5,5
50,16,18,15.80440559,56.64532343,4,4
56,10,18,-4.986853121,-158.2255282,3,3
20,18,18,9.91642757,-112.6871792,5,5
84,17,16,72.84416666,131.4260264,5,5
97,10,10,-14.80896664,96.27246598,4,4
13,16,18,-60.70160534,-137.4008343,3,3
31,16,25,85.692104,-120.9223083,5,5
66,11,11,20.91960994,-153.4503205,5,5
14,14,24,37.06930329,85.17634743,4,4
38,17,24,-8.547774134,23.77408561,4,4
74,19,25,-32.05714951,-147.8666689,3,3
38,13,14,54.72081466,28.44977749,5,5
17,17,13,50.98236596,125.0421199,4,4
24,13,15,0.992694421,98.51025749,4,4
39,11,15,63.28928302,-166.3449673,5,5
14,20,22,18.82359683,35.48737897,4,4
91,13,15,-78.40913796,-143.6931512,3,3
52,12,11,27.76251953,-95.66361294,5,5
96,11,23,-74.7048092,-93.56665122,3,3
68,13,16,37.96254204,38.75436693,4,4
73,20,15,-24.88394808,145.9922471,3,3
80,16,16,75.14796896,37.83401275,5,5
55,11,12,30.55320408,24.91625994,4,4
46,19,14,40.27884746,-156.8637952,5,5
57,19,13,69.33726273,-150.3133362,5,5
37,15,11,-44.19903547,-111.4487177,3,3
51,14,13,-52.36178621,-86.69684169,3,3
100,19,25,-77.04873378,124.8379678,3,3
99,11,14,32.83211762,92.36977834,5,5
13,10,22,-27.10006105,114.8876197,3,3
37,18,14,-59.81292315,105.9512911,3,3
82,16,24,-44.41853292,55.80021482,4,4
44,20,22,87.6537344,-104.996112,5,5
18,17,12,-50.65894592,-26.20110714,4,4
10,13,13,-29.33901897,178.4030164,3,3
98,16,21,-60.26161299,-57.05108095,5,5
98,12,13,-58.35346431,128.454063,3,3
78,18,22,1.561054144,-37.08794283,5,5
75,12,22,50.65967527,113.681024,5,5
84,14,11,70.91849645,5.504015236,5,5
87,15,11,89.86104514,-93.45702534,5,5
83,18,12,-31.48220601,-22.72346184,4,4
57,11,17,-23.553613,-94.97350329,3,3
45,19,24,58.83412599,-163.1793633,4,4
15,15,12,-5.812160605,-170.7467066,3,3
15,20,18,12.177655,90.77411395,4,4
83,12,14,81.92760992,62.12606088,5,5
62,15,20,63.01907335,-31.8013615,5,5
19,16,24,-60.02877357,6.293288696,4,4
98,13,18,-52.2712198,25.05531864,4,4
35,20,24,49.22115868,70.83233048,4,4
23,12,15,71.64160704,169.7229102,5,5
100,11,22,47.38712965,147.9702952,5,5
38,14,13,-18.66018454,148.93645,3,3
83,14,19,71.46522043,-39.54727695,5,5
77,14,14,-17.53603897,47.79292895,4,4
39,11,20,27.24716756,-14.55770644,4,4
74,17,11,68.61410109,170.5467409,5,5
83,15,15,-30.95317643,-151.9924711,3,3
73,20,13,23.30089993,9.354850563,4,4
95,13,23,-19.97314398,124.2427737,3,3
24,11,13,67.4612466,-19.05373141,5,5
94,13,21,82.37238248,-119.2859786,5,5
36,16,16,-85.98353503,-56.9545873,3,3
41,20,19,31.04142923,-5.350792355,4,4
100,11,12,24.19322853,-139.1286733,5,5
28,11,15,-17.78347239,-63.96234374,4,4
52,11,14,-5.261992625,-6.314748203,4,4
71,15,21,-59.55790684,165.3021898,3,3
41,18,10,64.90311818,-71.36577165,5,5
86,16,24,2.627150975,-94.4219204,5,5
61,17,14,37.17924316,-161.7490279,3,3
14,18,14,51.37148012,-41.61420152,4,4
29,20,24,48.26967425,127.4133834,4,4
14,12,18,-68.50488037,16.33938183,3,3
34,15,13,55.7418774,-83.63850094,5,5
74,18,10,74.04413541,104.0570082,5,5
66,14,17,-2.811633299,148.5580894,3,3
30,15,22,-28.07117686,78.08648126,4,4
89,20,16,80.0029918,66.78438611,5,5
72,15,16,38.57810255,-138.4342626,5,5
14,12,18,-32.13723907,76.96725179,3,3
90,20,20,-46.34093965,-178.7199081,3,3
10,13,12,28.05282016,-133.6713222,3,3
29,19,23,14.48089602,-149.2477273,3,3
61,16,23,38.01145192,167.3332789,5,5
88,12,14,-47.08210146,54.46002446,4,4
81,16,25,-32.92345167,27.79289912,4,4
37,12,15,-9.04072441,23.99068711,4,4
87,13,18,68.07922804,-151.4790836,5,5
77,20,14,-46.08610239,150.3443598,3,3
28,10,11,-69.42381257,47.35985966,3,3
36,14,18,68.75496605,-120.187127,5,5
36,20,25,-9.691972644,-158.7744873,3,3
43,20,21,-12.15646927,-80.62533532,4,4
16,13,16,-17.0108129,12.94001715,4,4
99,14,12,74.32424657,-142.0230761,5,5
38,10,20,85.93235408,-155.4507329,5,5
26,19,12,17.3818021,-124.8440063,3,3
33,13,21,-32.44146098,28.41122406,4,4
100,14,20,33.96938382,14.40047857,4,4
54,12,25,-11.35834524,-172.1378126,3,3
10,13,23,83.99709297,-7.205611304,5,5
17,19,14,76.65596098,161.4619937,5,5
67,20,16,-7.986289117,-98.15251549,3,3
93,16,18,-55.35179837,-74.22182974,3,3
79,14,20,-28.69175599,-118.5267209,3,3
59,16,24,48.9892186,148.618882,4,4
22,17,18,0.999917749,-14.99670115,4,4
83,20,15,48.32258387,-50.86724397,5,5
34,14,25,18.08837352,144.694693,3,3
55,13,19,-28.01773578,-144.2998669,3,3
13,16,20,-60.49297252,-99.04769135,3,3
95,15,24,-23.36232496,-78.70042376,5,5
20,12,11,-89.39059916,23.89679245,3,3
77,13,23,-16.75927067,56.12137866,4,4
76,19,13,16.94322135,50.84856382,4,4
13,18,19,71.50533889,-172.5627329,5,5
80,14,15,50.89749347,178.5508306,5,5
76,12,19,-86.25381478,-28.47984534,3,3
63,18,25,87.37327508,-80.84910179,5,5
19,17,23,-79.66740053,-81.01896788,3,3
11,19,13,-4.121715807,-165.1960753,3,3
41,20,15,-56.66604897,-63.08302854,4,3
22,14,18,-8.172531718,-141.7286219,3,3
93,16,17,85.90701586,-72.54339555,5,5
46,14,15,-84.05622497,162.6861041,3,3
74,20,20,-78.42562169,38.23954411,4,4
11,11,12,45.75768941,144.3020452,4,4
62,12,20,-79.27513764,84.68523162,3,3
69,19,21,55.69958659,-125.5203614,5,5
66,14,10,34.8974522,-171.3091664,5,5
55,14,19,-73.29579927,9.635596901,4,3
73,18,23,33.32363187,-128.9167612,5,5
66,13,21,-16.64586551,166.64084,3,3
59,18,25,-83.00269532,-91.66976484,3,3
22,13,17,-27.3732186,-123.8338344,3,3
33,19,14,-29.57112181,69.99625783,4,4
45,12,25,87.44649573,26.32834496,5,5
70,10,22,-24.46023656,-97.27127865,4,4
77,16,25,-42.09759181,-10.05075034,4,4
32,20,12,55.14937207,-143.9404412,5,5
77,11,15,-76.10170706,-61.44384419,3,3
30,10,20,30.24028537,-107.6361648,5,5
49,15,21,62.71438957,-156.6538626,5,5
23,14,17,-89.35544141,-46.18920567,3,3
34,10,12,-52.17245498,61.70993487,4,4
56,19,14,-19.34898329,-134.5298112,3,3
15,17,17,-64.15551182,52.8278785,4,4
50,13,14,-45.88125333,118.9532227,3,3
19,13,15,76.45972379,-104.9518301,4,4
46,14,17,36.69471326,-20.1384218,4,4
84,14,11,-86.41753984,79.42300166,3,3
10,13,23,-46.08787135,-32.80868652,4,4
36,17,20,-4.498651562,141.0545,3,3
68,11,19,-48.79859737,-70.80029168,4,4
57,14,24,-59.45750378,-163.1184533,3,3
41,11,21,-71.2111482,159.2127881,3,3
33,18,21,60.55388952,80.34606534,4,4
97,12,15,82.9734797,-79.22392768,5,5
64,13,23,-86.94521335,155.2470625,3,3
26,18,10,10.3776822,72.40131903,4,4
39,12,22,5.449138207,-104.7474747,5,5
62,13,22,1.991411916,-146.4804589,5,5
19,12,19,69.18023401,153.7846698,5,5
57,19,19,-64.01221733,-173.9720609,3,3
30,11,25,-55.1745353,-150.9347869,3,3
88,13,20,-29.22283236,125.4686006,4,4
25,20,17,-43.17931988,25.8497727,4,4
55,17,11,-72.58979036,131.086741,3,3
53,15,17,-45.08562734,-0.241063926,4,4
68,19,16,-23.06864398,29.69789772,4,4
81,14,24,-19.37160172,114.7844593,5,5
27,18,17,-10.26782917,138.6855638,4,4
89,12,17,-57.1356081,-83.95675407,3,3
11,13,13,21.77112812,-152.1514411,5,5
97,12,23,49.06761813,69.31259059,5,5
24,14,18,3.805685915,139.8408057,4,4
76,19,21,-45.3405707,55.89926329,4,4
64,10,11,35.52489584,146.7379185,5,5
16,18,21,-20.37924878,146.012832,3,3
67,16,16,-68.61209501,-79.81659049,3,3
12,18,13,-28.46014919,-13.87715934,4,4
35,18,23,80.95248448,58.96317056,5,5
100,10,21,-80.9306649,145.983561,3,3
49,18,16,48.90056319,-119.9976339,5,5
27,18,25,11.60752996,123.4966068,4,4
10,17,17,52.26859112,170.2396354,5,5
77,19,13,51.5425953,58.40228802,4,5
93,14,18,1.905288962,-25.69177435,5,5
52,12,24,68.06055541,89.36826383,5,5
43,17,22,46.02306042,-126.7047331,5,5
70,14,23,81.95061819,36.56548224,5,5
50,16,11,79.62108402,-83.23600285,4,5
26,13,16,-53.61116244,69.3519416,4,4
56,16,13,30.77398609,-162.5923455,5,5
33,19,20,-18.65481337,-22.45608752,4,4
47,12,18,-36.22862303,-132.0852771,3,3
24,10,17,83.23601524,164.2275954,4,4
93,20,19,33.51806325,-127.3255018,5,5
61,17,25,51.2565805,-47.97818975,4,4
43,19,12,-87.21210269,117.9678188,3,3
91,13,25,-28.6482765,74.20596453,4,4
88,15,16,24.76406835,-83.29782761,5,5
74,12,17,-12.88212147,81.02988567,4,4
26,12,11,-89.15634253,-55.78768038,3,3
60,10,12,11.67958032,43.11554935,4,4
89,11,19,22.12327768,178.7103517,5,5
34,12,20,20.02813321,-156.270101,3,3
50,11,21,-37.95871343,-19.15597162,4,4
63,11,17,77.9565827,77.73015142,5,5
69,10,18,-31.51347291,39.95072016,4,4
82,18,24,41.89951675,154.8376709,5,5
45,12,12,-4.038855372,96.5573977,4,4
65,15,10,-52.36841273,156.2755379,3,3
86,20,18,40.27615185,-107.5588728,5,5
65,12,24,-54.88805041,122.7446955,3,3
15,10,13,-35.74476953,-93.81227875,3,3
95,17,12,-16.81455362,-42.75363842,5,5
26,17,24,26.57983154,-95.27343107,5,5
71,17,10,2.115452869,-112.9751727,3,3
80,20,16,62.13291613,68.37971687,5,5
47,18,11,-67.05429585,41.5937279,3,3
33,19,15,30.68470425,148.7579923,4,4
53,12,12,41.11335003,79.4528515,4,4
52,18,11,29.11618006,53.57176363,4,4
89,14,21,48.21475532,102.4087131,5,5
44,14,20,-56.88491164,113.8446036,3,3
33,19,17,83.2418906,-37.91886183,5,5
14,14,25,77.29742086,119.1722005,4,4
89,14,18,6.248536884,-35.92293366,5,5
99,10,21,68.86011509,-84.05642101,5,5
71,19,15,66.82886118,-61.60688798,5,5
96,16,16,-29.30182269,165.2621027,3,3
39,16,24,-82.94168334,29.76207691,3,3
27,10,17,-21.761873,-62.45365144,4,4
68,16,10,-59.57223359,-21.12629735,3,3
47,15,25,-87.8205952,-71.26374866,3,3
26,10,16,67.68199757,-68.87388189,4,4
24,13,19,-42.03047868,12.73629023,4,4
64,14,19,71.38802994,-80.321218,5,5
17,15,24,82.0622282,85.02622215,4,5
65,12,19,-35.19968087,-174.9025737,3,3
49,13,13,82.27934345,-77.75901129,5,5
24,11,21,-55.62249742,-134.1082889,3,3
35,14,23,-88.72815993,153.9325082,3,3
16,16,20,49.94659006,-66.1702374,4,4
89,18,25,83.51515199,-85.82877819,5,5
42,11,12,-53.87325149,-76.58565405,3,3
10,13,12,-59.67709635,-86.78788514,3,3
39,20,14,-16.38279304,-137.5056851,3,3
92,20,21,83.9494672,128.3718087,5,5
72,18,15,-0.318774622,45.2195533,4,4
42,11,15,-13.39213285,-146.7824192,3,3
91,20,10,-73.77388988,128.995768,3,3
27,15,10,-48.42409835,-82.30641079,4,4
51,17,24,20.60246086,-158.8240362,5,5
23,11,10,8.332654244,-93.08930356,4,5
48,11,11,-17.68845716,-74.81208986,4,4
93,20,14,-61.65116575,116.5068679,3,3
82,20,17,-75.30398789,16.67635739,3,3
35,19,24,-42.24331521,-57.57037297,4,4
34,17,20,36.89657953,179.5211111,5,5
92,13,20,70.41458538,21.41787759,5,5
43,16,23,-86.24438523,-1.392907668,3,3
94,13,24,-42.5112645,-151.3080793,3,3
91,20,20,84.71519118,176.842382,5,5
67,20,21,48.5349346,-163.156518,4,4
37,13,22,79.54335966,48.88728344,4,4
20,10,17,-41.2219479,140.3340645,3,3
91,20,21,-70.2021263,-169.7408024,3,3
88,13,14,-26.91425433,-144.4673456,3,3
77,13,10,2.598231955,-127.0382168,5,5
74,20,23,-36.37908088,122.9932567,3,3
40,10,15,-88.8352357,-126.9519365,4,4
47,18,17,-2.600299255,100.7834215,4,4
13,15,24,-83.72401395,-161.1895752,3,3
33,12,20,-48.27738558,117.4228528,4,4
73,13,20,34.55142311,-45.32838162,5,5
47,20,22,-29.87937613,-92.39572602,4,4
59,13,11,23.1500515,-69.32071198,5,5
76,18,11,49.1780586,-105.7996672,5,5
12,17,22,-26.72603499,140.0889444,3,3
84,18,23,-57.97388352,46.94236446,4,4
16,13,19,-50.05187073,82.08338964,4,4
15,14,16,-45.29271149,143.3408363,3,3
12,11,25,58.8353967,102.4531862,4,4
48,10,21,-4.295300728,-156.5086665,3,3
34,18,14,46.37073891,7.547384648,5,4
10,12,20,-35.29552895,105.2638868,4,4
96,11,20,-12.61152556,-131.3913756,5,5
34,11,19,-77.98992056,-125.5082313,3,3
27,20,20,-86.86188735,101.5909386,3,3
24,10,16,38.68066002,116.6207279,4,4
57,20,15,16.22573216,112.0536303,5,5
26,12,20,77.76609653,-92.02767045,5,5
20,16,25,-10.98517545,-173.5585394,3,3
11,12,14,82.70476175,-134.694118,5,5
41,13,21,57.883892,-122.1146637,5,5
35,13,11,-15.79497139,3.432006708,4,4
52,14,19,51.42627658,-134.9951443,5,5
88,16,17,-9.065585625,-175.1803215,3,3
32,15,24,-81.29770407,52.39165807,4,4
95,18,11,3.593768612,164.067508,5,5
85,12,19,5.681203873,143.5573014,5,5
47,11,19,-53.8059245,168.3293459,3,3
29,16,20,87.95403351,152.8523245,5,5
14,11,10,47.26045287,152.2770241,4,4
41,14,21,84.0011281,-57.11144936,5,5
67,15,13,87.41684896,-147.0587825,5,5
71,12,12,13.78594269,-106.4257551,4,5
92,20,15,-11.01087665,162.0441144,3,3
79,12,14,-27.07800551,78.31230033,4,4
77,14,24,-71.05693494,-70.4244749,3,3
59,12,23,21.59051201,23.33628565,4,4
43,13,18,-1.707969256,-127.2386565,3,3
96,13,22,-66.4539415,22.46015776,4,4
10,13,12,87.34364894,-48.5799199,5,5
17,14,22,-27.75992751,-62.03376412,4,4
56,14,11,2.740494585,-74.41693204,5,4
44,10,15,-3.02577178,15.23693951,4,4
29,15,23,-35.52886611,-106.1043729,3,3
41,18,21,28.96155553,-60.71912317,5,5
51,11,12,-40.91083453,120.4898833,3,3
29,19,15,-27.38434417,70.29973372,4,4
76,17,19,24.36432494,15.05558934,4,4
53,11,16,-68.84464183,32.14089441,3,3
