TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,taskStatus
131,56,10,87,-70.11207665803133,56.56442269099935,null
132,38,10,84,87.3365156688273,82.73891847554631,null
133,89,20,73,-4.559956862243695,175.05661383753397,null
134,89,11,29,58.84330509070284,-44.63470051064556,null
135,16,11,50,66.97943677631758,-52.37626364097413,null
136,84,20,17,45.63791669969322,-9.696067716215367,null
137,20,16,93,36.91348818291627,-105.12791436570245,null
138,33,17,12,-49.14240618673092,145.47525745633607,null
139,26,10,57,8.923015150384174,50.65486344091488,null
140,96,19,53,27.674068619136662,-173.32474636038285,null
141,28,11,41,-55.841066443658974,54.0425864828656,null
142,25,10,93,-38.56976433222968,160.32809764874236,null
143,79,20,29,50.91727788086928,-97.45076335248555,null
144,79,12,25,8.778805924656126,116.28297265802195,null
145,54,11,32,26.778095922073348,169.62447066179664,null
146,44,14,61,-43.18921041255643,82.42815460682641,null
147,27,20,13,-40.75327297673545,59.091502971891515,null
148,98,10,94,-7.428070437225571,-160.04711744969455,null
149,17,12,35,20.87329483168324,164.48536912168782,null
150,92,16,10,37.66842510228253,176.41313507213107,null
151,76,14,87,60.469370380000925,-91.32180001236173,null
152,73,18,62,-87.55467069942249,-96.34639166933641,null
153,37,20,14,-16.608845674988203,156.24267416038577,null
154,46,18,33,68.9556038200931,37.55443882797081,null
155,95,19,49,57.454790055804665,-16.179632164791485,null
156,30,14,60,-2.934274830117218,-131.6398413921211,null
157,16,17,56,60.9813033472837,76.9186585469397,null
158,81,12,50,-44.434354178095944,-8.782704085065234,null
159,68,14,15,-48.528081039141945,-139.44609061218267,null
160,66,10,74,59.69798861473632,128.50123398019667,null
161,66,18,47,88.08362140267249,115.00778098901856,null
162,44,14,14,78.87297196656857,-81.22588303341738,null
163,73,12,85,-70.74057200623375,75.53417386885567,null
164,33,20,13,22.054505974147432,31.43398100268729,null
165,23,12,13,21.95966594198886,-26.43500618980758,null
166,74,14,39,-82.28462440851771,111.43777629463989,null
167,52,11,68,12.358179935733432,-103.28038944164096,null
168,56,16,71,-19.48223012341559,-62.467911613984185,null
169,21,19,44,-19.472468100980265,60.98712167513443,null
170,82,20,22,-52.058162248319455,-90.74329259399886,null
171,89,15,41,75.48718807882986,120.20050312983523,null
172,25,20,82,-70.73023194275024,-120.4932325374591,null
173,45,17,10,34.43290029569738,-41.5306491284133,null
174,60,13,41,24.544656570709805,52.715335943537724,null
175,16,14,46,15.606912273550819,172.16472793128372,null
176,57,14,67,-52.893488139083985,-112.50868626719289,null
177,12,15,46,-78.26616173695663,-41.93164340796869,null
178,54,13,81,31.082554319319897,-3.0112154255875794,null
179,18,20,42,71.55452741100416,92.3565803912793,null
180,91,12,32,-7.7964484046975,-69.68691754689671,null
181,21,11,71,14.002046721316106,-134.4120753777687,null
182,14,19,86,60.73979842432334,63.33437859983198,null
183,40,18,24,2.5283738834667986,-68.49156583485639,null
184,19,14,66,-20.005326306163198,-177.9964833812232,null
185,32,14,97,14.688193884267974,-16.75793205015532,null
186,96,14,33,35.609123239749934,-62.15505493205646,null
187,84,19,70,-34.4929226435341,-165.76116092076546,null
188,54,18,86,36.124879470350066,129.419602556533,null
189,74,14,68,30.066236422308194,-163.20520729300677,null
190,78,20,67,73.62575680566519,159.14585093873887,null
191,47,12,73,-85.26285285771675,-56.365573220208134,null
192,74,15,31,89.11704507375092,70.93986316226929,null
193,70,10,13,82.72079489116291,50.42732473671947,null
194,98,10,87,-69.59130811106274,-129.73011869106955,null
195,22,10,69,-4.690231059214014,-58.981965530696854,null
196,77,10,50,0.61035113247722,37.839386790948026,null
197,96,17,75,-75.85753713642103,43.89177863352003,null
198,59,20,88,47.99802248558828,95.75310318119006,null
199,70,19,100,-41.275498190419114,81.55929862957242,null
200,98,19,17,18.905609238428795,-105.65298491923028,null
201,62,12,17,81.9711246227445,46.912341254366254,null
202,87,14,18,4.627843825624964,112.72843305281049,null
203,79,12,93,-60.99672047701968,113.3246373031979,null
204,88,16,24,26.98833537054898,63.091965637846414,null
205,41,15,98,70.90851343363323,-9.37222020022034,null
206,93,19,65,45.38236093431314,-140.1096941622247,null
207,23,16,38,74.77551111907789,-43.235139896511924,null
208,56,13,92,-58.862184519777664,149.12924349611933,null
209,41,20,60,68.97352795842988,126.35578665093766,null
210,92,16,92,-75.61561656604712,65.05783671883805,null
211,45,12,85,60.003486992442305,-145.28917952139528,null
212,92,12,86,11.421949889369216,-128.34232794864144,null
213,79,19,12,-19.503589263153486,54.37790372310414,null
214,21,18,63,-72.89199363952095,-66.90909637426026,null
215,41,10,69,-89.84232914614029,5.819792185820546,null
216,44,14,100,73.89816519221063,7.16723914766601,null
217,54,14,47,-31.95561229921458,-135.99722050205872,null
218,92,19,79,-4.536675310512308,96.87331466763993,null
219,21,10,89,89.86550034076956,169.87977239036258,null
220,59,19,44,-41.7273756248393,83.19529811175511,null
221,13,14,49,78.95398747806519,-163.5338948381712,null
222,32,15,94,77.30184478059894,-136.08904735127402,null
223,10,14,59,12.54303121725819,-61.93090660037598,null
224,64,19,26,-4.065604668916464,-35.09885645986978,null
225,64,13,20,28.71258440128743,-16.697043787950747,null
226,36,16,90,-8.644624065770174,173.06136335621608,null
227,62,15,49,35.01488302552275,-99.93205882238225,null
228,63,18,39,-36.04558314712388,-90.35272246289213,null
229,27,15,10,-19.9342888774472,56.289563812516775,null
230,41,13,52,6.240167508441928,-78.62966631267436,null
231,45,18,61,-42.05701202541347,-7.8700454707521885,null
232,66,15,53,-39.80484395848891,168.1509316638144,null
233,40,15,16,66.83217726197006,-22.138599471268975,null
234,41,18,27,-32.86369931775589,-125.81404548780421,null
235,85,15,27,74.58894295128272,-117.62874045112387,null
236,47,20,23,13.000913014983155,108.05645650507785,null
237,51,13,30,74.755161893436,97.74061528351257,null
238,23,14,24,-80.77848636717435,-117.92946651882748,null
239,84,11,24,1.5255775379254288,18.637658395909853,null
240,33,15,53,86.23595846138625,-9.181177734510072,null
241,92,18,21,-49.27029402949537,-87.8286483538999,null
242,32,16,100,47.137607979605235,86.43729466266444,null
243,78,20,23,-16.58221632785569,-94.05753720077034,null
244,94,10,13,-78.80883754921126,82.37179266112918,null
245,62,19,40,-26.815985291533252,-79.6847827231192,null
246,29,17,60,71.64519149442452,107.97790112843751,null
247,52,16,48,-21.489673777650808,-156.41022982798643,null
248,93,10,78,63.5271825988564,-173.07283199405458,null
249,74,20,81,-84.69172553050555,26.660148492284776,null
250,12,19,44,78.07202698645324,-80.91705840769018,null
251,74,11,32,-86.19975499733893,159.6016856201024,null
252,21,17,71,-44.992680309461974,-177.09702138866257,null
253,24,20,54,-14.512677558614968,95.96608494283538,null
254,55,19,39,86.43320774917728,56.47159879918098,null
255,48,18,65,20.585701660694696,-83.29515741761647,null
256,38,20,62,17.960295801936823,156.29951256091198,null
257,85,14,92,-25.46619971032017,166.09176014917568,null
258,51,18,87,-87.73463296773481,70.0037102041646,null
259,67,10,83,85.12352992522261,88.00046561507884,null
260,16,16,57,31.401618814889076,-144.69647011116535,null
261,95,13,53,-69.58705484233148,63.95713835621493,null
262,51,16,68,-1.794726366750666,-139.65926597628803,null
263,77,20,38,-67.1362231875938,-35.00055137038953,null
264,18,15,75,-70.55804076339818,-159.49333367291,null
265,52,10,31,-37.86301878511569,63.237332241207156,null
266,31,15,33,64.31284608738423,64.98025288237375,null
267,61,13,67,-13.248206013925355,-76.49860477185807,null
268,56,18,85,-63.7892260902332,-78.64212130003258,null
269,14,13,88,-44.574763758580985,97.14570370398735,null
270,11,13,79,45.91144433791641,-92.53164861981872,null
271,69,19,58,11.283657439147959,-140.5470490211112,null
272,43,11,49,-5.996505845389265,-29.531305795144817,null
273,96,19,10,-41.67761813064352,-122.93740093299706,null
274,61,18,63,81.89167744270296,65.07020132615665,null
275,100,19,51,65.61894634755024,-75.08629305561708,null
276,34,14,78,66.8945222580935,-171.0064692282327,null
277,13,11,18,21.321436744744418,153.2268848831253,null
278,35,16,60,-48.92108763874449,-85.25673506487195,null
279,38,15,31,50.73041442471879,-170.49896034438393,null
280,35,20,85,-71.39654229680856,-92.3661342081125,null
281,98,13,31,6.14781995509577,116.78011645709773,null
282,57,10,83,-21.497911527564398,142.6444830133982,null
283,71,17,36,-34.477659555158674,-146.57631747987438,null
284,69,12,82,12.00963219215133,-179.5309343288991,null
285,72,12,62,-85.91318208883624,12.045248579470552,null
286,64,20,87,-64.1501329786361,-152.06863292608065,null
287,85,17,70,-84.74109220413735,176.7352370140619,null
288,100,13,62,-24.636244661275086,-83.5488999998581,null
289,81,13,41,-19.550970412144764,134.0483957778133,null
290,57,16,48,-44.619358881728495,81.13621383682647,null
291,21,20,74,84.205992965143,146.226252123525,null
292,89,17,91,43.03781729128059,7.892492320465095,null
293,96,13,96,39.23105504052546,126.39022763495274,null
294,65,16,100,-14.038713017684273,168.92053699253012,null
295,20,14,93,18.176535946789258,-40.477331434630315,null
296,82,12,42,-10.107914006054969,127.60086912243008,null
297,93,11,70,-60.905425055739904,-152.801027606146,null
298,58,13,79,7.89698365454133,65.25675262926543,null
299,27,20,71,-84.66008671258756,55.20098112681811,null
300,51,20,73,42.296544011234204,118.4705919108959,null
301,28,14,17,80.2288719472889,-14.546717881500172,null
302,94,15,20,21.408710225226287,43.37057351036128,null
303,13,10,21,3.75450653642676,-28.23954030556868,null
304,75,15,10,27.934184836724114,-122.19087846705179,null
305,79,20,51,-21.582853414249783,175.8436653936003,null
306,35,14,52,-3.8776401406177996,139.9903358180648,null
307,93,16,99,-30.561161646429014,-91.85233029868175,null
308,50,18,37,-70.82482319008597,-60.79505587050838,null
309,98,13,99,8.899831253220626,140.2912605944834,null
310,94,15,18,30.42665381759089,133.42251468017855,null
311,68,14,56,-13.945364760581668,-172.07849171194312,null
312,46,19,53,-75.80551146958592,59.02991719938018,null
313,64,13,71,74.29335429737881,-167.27037751651466,null
314,69,13,20,61.6560924183909,-137.55582646133547,null
315,75,11,55,-65.1686113966548,126.72904141591198,null
316,24,13,57,-17.617037615023534,47.33739772976577,null
317,84,18,99,-70.15052353380693,172.96283937694545,null
318,24,12,80,-73.15546198160051,-16.508086010383522,null
319,63,12,91,-35.46242208513769,158.75421813520057,null
320,55,12,16,32.67825606256241,-155.9790716803709,null
321,71,16,37,-22.764294396361606,53.08460877975949,null
322,83,12,59,-50.70653224959685,76.49765843040376,null
323,26,15,13,-22.01873895464304,106.87921836200871,null
324,85,15,27,77.73379031000556,-161.4388963858125,null
325,16,20,57,-43.866965534126855,-1.467424884466908,null
326,13,16,80,-47.25635169779336,-5.737739613636393,null
327,62,20,20,14.813551151190154,-46.60530838689144,null
328,99,20,71,-65.62733094942534,-157.6358868332635,null
329,51,14,16,-68.68133038476171,156.30831704554942,null
330,39,20,90,-52.31874816810675,94.32064375272063,null
331,48,12,97,54.99290825755972,57.13724860197149,null
332,10,19,46,-51.43146925752658,-67.40226335571927,null
333,93,15,15,22.492299813359523,-58.779101251120835,null
334,50,19,73,20.575994320657784,88.1847886525075,null
335,83,16,54,16.781510443669674,89.28763743844905,null
336,16,14,64,5.1616393014901405,-36.064053165266046,null
337,67,15,38,-12.393329347467969,160.86427468735047,null
338,12,12,23,-13.874905664123062,-136.866902158929,null
339,85,15,79,8.124185613386587,151.21247416297268,null
340,44,16,27,-52.44844817587253,-93.54359772737106,null
341,89,14,81,-49.76836574266859,-179.06921004332622,null
342,53,10,90,55.28030659685314,-16.518668289312274,null
343,51,12,100,-60.47557600284296,145.6679037142888,null
344,37,10,62,-16.86480358845968,-105.37625148917817,null
345,41,17,79,-39.19106350516418,-145.58787355236512,null
346,95,19,39,41.036684344975384,91.9830693587212,null
347,89,13,64,57.31924332333608,-179.43395476178432,null
348,98,10,63,70.0980079075818,-67.31217774463818,null
349,51,10,35,61.685769347384024,-29.81848630058809,null
350,33,13,62,-41.029933626672296,-21.464438376448754,null
351,63,12,54,-31.489946369009175,69.14278688975057,null
352,99,15,97,-67.48337931162074,16.500944344980866,null
353,78,12,66,-89.61801805734693,83.47124217245391,null
354,62,18,45,-63.264786673547235,25.521949832638597,null
355,18,12,76,29.71705264610219,-117.13905749262756,null
356,88,18,100,-35.52414592365013,-35.535015745502136,null
357,63,13,60,-35.548461600208405,1.791567332124771,null
358,79,13,54,-46.860410048093954,70.54924344593837,null
359,79,20,94,-25.840498458883147,-76.04902075020877,null
360,19,19,100,-26.995394285578378,92.98294595714606,null
361,58,19,46,11.972055533942836,17.47593963757211,null
362,43,15,48,-20.11427308162152,94.55611755465003,null
363,61,14,12,-6.549130324950596,-140.9209348753904,null
364,31,16,80,-66.6462784753138,138.64465154648963,null
365,28,10,58,17.825827121720664,107.40092168050722,null
366,61,19,40,1.9249250826661068,-177.35133599222752,null
367,49,10,72,53.700726710547,29.118442019809038,null
368,16,10,80,0.8075092098054881,161.9995732576685,null
369,96,14,25,25.534068550561514,-163.88424470376702,null
370,39,16,62,-17.829069611834555,40.10884674146371,null
371,32,15,89,-64.954128811581,127.23001261616452,null
372,37,11,58,-18.690887102051292,2.3899431187874143,null
373,87,10,96,-43.35034532419636,-14.745999840943085,null
374,30,20,73,-27.0844045602202,-15.325050761459721,null
375,18,20,91,-10.383620942507264,-53.79585209192756,null
376,85,20,50,81.93361263870716,47.48662330637467,null
377,58,11,11,-54.18347929978419,-129.6196692361376,null
378,38,11,49,-74.7384565123494,-129.90547031483604,null
379,84,14,64,40.41469190441492,-72.12696037193223,null
380,84,19,50,19.715507447618947,6.304254421202529,null
381,95,12,30,29.260477049474147,66.70838041765734,null
382,88,10,76,14.620088486122341,175.09083644518466,null
383,28,15,33,-5.448747124617967,48.498750558236054,null
384,93,19,40,11.393189250717128,-51.8941063149835,null
385,61,11,96,-28.067840078198685,168.5423686257986,null
386,62,17,38,-48.47354873870075,-39.95638063974948,null
387,29,19,67,-65.84345954349757,152.98932622862066,null
388,74,13,30,-67.15784663556802,62.357522701291884,null
389,13,19,61,-37.214150288992805,-164.35255726807372,null
390,73,17,86,-25.913495320228265,-168.8223507570387,null
391,90,20,28,34.10027725187,-74.90226618226276,null
392,15,12,82,-85.91022989065182,153.77789289414721,null
393,33,14,43,-78.61370575422403,-125.4840071542809,null
394,49,18,53,23.430964101014283,68.4094633925395,null
395,94,19,80,-64.17419827711149,-35.57193940252563,null
396,10,14,76,-6.271878351789596,-60.02068218596119,null
397,32,16,86,58.381458747655245,-39.71342684921808,null
398,89,19,74,34.482002158976016,83.80634954602834,null
399,96,11,41,-14.172941982648268,-161.84165834612617,null
400,60,15,60,-25.916170626874944,-65.77598831465404,null
401,82,15,70,42.23055520018633,-154.08303476131312,null
402,52,20,43,-17.832626350436584,161.57342694229942,null
403,26,15,41,-86.2584057494546,-175.07260957536224,null
404,14,20,37,64.01676858905819,123.86067425137435,null
405,30,13,73,-31.989247226734918,143.18579187996608,null
406,29,10,18,21.413805052401656,-139.35786209594193,null
407,44,15,27,-37.47703357720741,86.40791891935203,null
408,55,16,61,80.37690356260958,25.775554820525286,null
409,22,12,38,-75.74992543927118,-139.11641363964807,null
410,93,11,42,-71.17024001845323,-28.21907590269103,null
411,96,18,15,25.54436554653161,143.10857323327025,null
412,21,16,94,13.570671900759834,-179.15338831090637,null
413,63,13,39,15.920063708599699,-4.171487712624071,null
414,14,18,39,-10.249090725777208,-10.834129419306777,null
415,95,10,20,-25.87355886751682,15.970134358817148,null
416,38,13,80,61.645368678354544,53.08891655369854,null
417,50,17,52,16.29819279340542,-112.06041591523665,null
418,46,10,62,32.29054595612803,173.00258832113252,null
419,66,18,25,39.09135137028542,-58.90560565567398,null
420,87,19,59,-31.999943518294295,-167.89747994180314,null
421,43,17,60,70.46021486393624,-38.77519917573724,null
422,90,20,96,83.59543101939047,-110.16341022223158,null
423,61,13,49,-83.55081803468244,-138.5306410829422,null
424,59,13,44,20.692738767373527,91.2302091297642,null
425,85,18,40,-82.07599835502461,-60.00238266068358,null
426,36,11,52,66.99892343920749,-158.7701270492852,null
427,83,19,15,76.69092841604296,102.32768746744483,null
428,50,13,51,-22.00121616472849,110.69989468160378,null
429,61,16,35,73.2416289667008,29.978765400209852,null
430,92,15,100,-23.375118901373924,-148.30378777024833,null
431,46,10,84,60.16115922903083,-15.20994629750075,null
432,55,11,19,-79.67361210559598,-32.21286667398593,null
433,87,20,37,-43.734399837890976,1.302900326508734,null
434,18,19,50,25.228354887115927,-151.3414633928989,null
435,91,16,15,-32.642628059356596,-73.40617655866457,null
436,64,20,26,-45.292422081687555,-80.36274760851387,null
437,18,18,79,44.66058655621583,-43.21318358292834,null
438,83,11,78,-7.566210551220223,31.43545796750709,null
439,82,12,80,-0.055671067298831645,140.18757801862768,null
440,47,15,64,55.33976633502783,21.915660194925806,null
441,34,19,43,6.424591757648045,57.853710822533344,null
442,41,10,66,62.40172415548895,-55.018878406605296,null
443,81,10,86,63.18740385617582,-123.33796619215342,null
444,24,13,81,-79.61694877810542,-20.51017693247806,null
445,20,17,26,10.23243022477233,166.4161404640629,null
446,56,16,86,-81.83710565408902,-179.9148302187053,null
447,69,12,18,53.023479251387386,69.78272957752796,null
448,35,18,34,67.08367362078619,-43.54389585865124,null
449,100,14,40,-32.79023053019878,42.59245872338474,null
450,50,18,19,-69.72932549834643,-117.75731277925028,null
451,98,12,70,-32.36993786809717,-41.42777290391453,null
452,45,19,94,-28.17205176290237,-13.883884721313677,null
453,84,19,55,-87.05382395893469,-106.35127920782426,null
454,71,13,41,-70.65662184313106,-17.98387970088632,null
455,90,15,60,55.05415223719112,-161.3605558511489,null
456,39,10,93,86.84557403454153,-113.54901478206118,null
457,58,15,45,-71.3774234545196,-52.17544243966691,null
458,42,14,84,-73.14678330394534,75.21689326419269,null
459,26,15,46,-82.74932264654008,-168.57895434543192,null
460,41,13,58,24.409824899507655,-7.8525463778622395,null
461,73,17,55,19.504222759057214,-90.75407948935768,null
462,63,12,27,88.5759013590602,-116.88018179183865,null
463,15,20,19,-63.66668363837313,-10.702923711912518,null
464,76,12,22,-66.11462682120957,-164.4401355892484,null
465,60,12,49,-24.311981345832066,151.02996822344198,null
466,48,20,19,-59.516444324139016,-135.03943425118138,null
467,93,20,69,-79.38577267730652,175.44096948836386,null
468,43,18,90,42.09868482609494,12.288701804829628,null
469,63,18,46,22.62336628629012,175.0795419357782,null
470,65,18,30,52.25358045184052,-141.88148962172696,null
471,82,18,92,-52.76506200005132,122.88681847175872,null
472,24,11,50,-21.506598210863388,-54.67411700555023,null
473,48,17,94,-2.486524926257559,30.617360656550176,null
474,94,19,11,-37.77663268462847,97.64883499212004,null
475,78,14,100,5.0046894282831715,-167.41942900145344,null
476,97,13,95,-45.54902869470571,-150.63370661857314,null
477,92,11,11,58.646861782454295,90.98056719222319,null
478,61,16,71,-69.7258084391251,158.49683798018503,null
479,12,19,66,51.913496836833446,19.137280337323716,null
480,58,16,53,-2.858453410304307,-138.45381880350146,null
481,37,19,96,-62.53490500494934,-129.4890936486393,null
482,18,18,98,-68.69908705452526,-24.546918824345852,null
483,86,17,97,-74.31507294268152,162.07411865896802,null
484,39,18,76,57.17453065263777,28.45208296027144,null
485,64,17,86,-28.17487544712415,123.42512165398693,null
486,84,14,96,35.784356870923546,-79.51525970825708,null
487,41,18,59,42.27604845735257,-0.05113253745778934,null
488,19,16,23,85.7850082837443,21.311605622975804,null
489,45,19,23,87.02495550420824,7.981899818739322,null
490,27,20,46,-32.96207907343349,-145.8836724701946,null
491,15,13,57,27.595500434409203,-17.02016220506468,null
492,36,16,28,-69.02017917075698,-85.35702630738474,null
493,33,10,93,43.04717609629199,70.71328048606199,null
494,26,16,97,54.53343565964843,-128.1139689235761,null
495,29,13,79,51.186302713783846,-22.96659883376094,null
496,73,19,78,-5.610267382146219,-138.95357501789974,null
497,73,14,29,33.126948535331024,-178.6904034690993,null
498,67,19,72,-20.530641813776995,51.39523269483146,null
499,33,10,65,-42.172542406394136,64.21830579718005,null
500,65,14,86,-1.4602921305349952,-9.331762185639064,null
501,49,17,29,83.9705381780104,-88.52497998901701,null
502,83,14,94,-76.87101660648891,-150.05597446256374,null
503,40,20,77,17.090950077430804,42.787608391321896,null
504,13,14,46,70.94218143635808,-48.645322360697946,null
505,47,12,75,-52.03505311758935,-163.21819468146776,null
506,81,10,87,65.0757270574708,114.75624265132967,null
507,45,19,77,39.53825143346617,-27.289027330265355,null
508,51,11,73,53.452975027007966,-0.6258829237447401,null
509,99,18,73,-32.79033223095637,-143.26189919610175,null
510,63,15,56,-1.3301213971337091,-176.27835660059705,null
511,16,16,100,-18.025547110810137,-169.89049096793806,null
512,50,15,97,-34.61550184251559,-118.1914154461631,null
513,50,18,16,-47.67757146384951,175.72842491284956,null
